time,path,name,size_bytes,ext,mime,entropy,hash,reasons
2025-08-09T11:56:43.044946Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\images\logo.png,logo.png,74037,.png,image/png,7.883,5ac850699bf306448d0431407f303ab8ddda423d9f6a07774fd02a4c3ada7873,['high_entropy(7.88)']
2025-08-09T11:56:43.127253Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\index.js,index.js,1655,.js,text/plain,4.849,bc76edc8b7f6c1e20e1dcc9bdc8daab575b8f3d8e3eeedeb25c4d5ae78340cd6,['suspicious_ext(.js)']
2025-08-09T11:56:43.176348Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\types.js,types.js,718,.js,text/plain,4.999,3cc772f9e2d566ac6cffef6f6730ce2ee91d66ffb3e402458a236fa92dcb5c7e,['suspicious_ext(.js)']
2025-08-09T11:56:43.234802Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\helpers\extensionConfig.js,extensionConfig.js,284,.js,text/plain,4.936,ff5717a5e0efda6e7c5b67f938e12c3d7bf71afaa713c320ed06894cfd905987,['suspicious_ext(.js)']
2025-08-09T11:56:43.292829Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\helpers\formatters.js,formatters.js,1146,.js,text/plain,4.928,887a1f3ae71d9f80705d955cb76c9b7e71f55e8b1091f7b06940ba82b755cfa6,['suspicious_ext(.js)']
2025-08-09T11:56:43.400232Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\helpers\generateSnippets.js,generateSnippets.js,2362,.js,text/plain,4.857,3780e2053070f58d1015c24a556aca4ecdeba47ed14f27a59dff924cd0726b24,['suspicious_ext(.js)']
2025-08-09T11:56:43.493226Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\helpers\getPrettierConfig.js,getPrettierConfig.js,765,.js,text/plain,4.865,201bcdf9a8b6fc8d4c7e94c3bc99cb0f1270604872890848cbc8f3a863a7f56e,['suspicious_ext(.js)']
2025-08-09T11:56:43.647447Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\helpers\parseSnippetToBody.js,parseSnippetToBody.js,1024,.js,text/plain,4.927,58cdb8c69323d3674a63b27e377afe5196bce5c78d909e4da6948efc34ee5ecb,['suspicious_ext(.js)']
2025-08-09T11:56:43.766572Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\helpers\replaceOrRemoveReactImport.js,replaceOrRemoveReactImport.js,1292,.js,text/plain,4.686,23498ed160f645639831c4ac84f7ef25a964f41dae049ed455e4cc3d6f083bb2,['suspicious_ext(.js)']
2025-08-09T11:56:43.906810Z,C:\Users\Xaviour\.vscode\extensions\dsznajder.es7-react-js-snippets-4.4.3\lib\helpers\snippetPlaceholders.js,snippetPlaceholders.js,2229,.js,text/plain,5.081,6babf8f1b2aa409e0fda804913b3631cd353140dd9181ab4a92e478f8910dd8c,['suspicious_ext(.js)']
