################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2025-08-27 14:58:26 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2025-08-27 14:58:26", "6303338d410eb13056a6667bb03f1ed394bb8c9defb8315aa87aa2db4e01a9f1", "954f4793db6fe15ede254fec7014f8df", "None", "aachum", "dragon_util.dll", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "n/a", "n/a", "n/a"
"2025-08-27 14:57:41", "e87bfa0412f084c4c6b58ed227349ae181de1e3a214b458e4eca736bee43ccc2", "e6c914c6ea81abab4aee36929d73a952", "None", "aachum", "scrdll.bin", "zip", "application/zip", "n/a", "n/a", "n/a", "n/a", "n/a", "n/a"
"2025-08-27 14:57:02", "6023632ffb75c317ee07a42f53c623a6f6ef01f7c7a3f62b460ea1eb5f3f1ed5", "2611567a0fcea0be7581da8d7cef0dbd", "None", "aachum", "🧱 𝓢𝓔𝓣𝓤𝓟 ⏭️2.exe", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "n/a", "n/a", "n/a"
"2025-08-27 14:56:38", "fd9a978cfddf57aa0fc20fb70534f302c7dc013b6f038f8e46e7dbe82c57fe2e", "0624dd57f26bcbc74f290bdc2292f05c", "None", "aachum", "🧱 𝓢𝓔𝓣𝓤𝓟 ⏭️.exe", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "n/a", "n/a", "n/a"
"2025-08-27 14:55:39", "30aaf493758998d58bd9ec2b9c0e40b19a259963f777da91afe60f859f4327a3", "f6acebcf68b19d0dd167420c49914811", "3d16d9be872f4dd0de989054dbc5bdaae6f5b6f6", "aachum", "📥 ⬅ｓｅｔｕｐ⬅ ⏭️.exe", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "a520fd20530cf0b0db6a6c3c8b88d11d", "49152:3qNrMG1+7aZe3n/JSmGzKqiomIWgp2xcMGq6uA9vEoVojS379Wyz+2/KNYj:6VV+7aZe3n/JSmGzKqiomIWgp2xcMGqY", "T148A5E65A78A208A5D668F1F05561615C7232BCD60362E78B397C31A73F3AA5FEF1831C"
"2025-08-27 14:55:00", "854823158431321b93e10174ff4001c92644e996392993ab433bf1689146b312", "1c54e9b9a5440e8ef2a880b0c8ff4eb0", "0feda5f5ddff9ce5903c3fc897260d321ae0ce3d", "aachum", "mfc110u.dll", "exe", "application/x-dosexec", "n/a", "n/a", "11.11", "4ff126a37cacf7b37858d8f2b2459f60", "98304:1bsG03FfWzwgw1HQiPUVSnj4t9FLOAkGkzdnEVomFHKnP2:1gl35WLw1+t9FLOyomFHKnP2", "T12D468B566EFC4095D097D135CA6B8F5ADBF3FE912920D75F0026229E6F733221A1E322"
"2025-08-27 14:54:29", "41663cb27e881e2280a4ba17d3cfd02e7b5f9024e8ebc03349e7be76870560a9", "58f4a1859df5e85ce9e4b05f0ec1b5f2", "1da5a5a078a0206c7e7e1a5b972dc687b5796130", "threatcat_ch", "RFQ-RRV2  031760P25080003.pif", "exe", "application/x-dosexec", "n/a", "n/a", "27.78", "f34d5f2d4577ed6d9ceec516c1f5a744", "384:QT5+NafwfTAW+9UHQfWjoFqVRzHtj7952wZwT/18cmPHiA:QTCa4TA4fiqVt5j2wZrtHiA", "T1F3922C0EA3FCD273CFBD46BE9CB240301774D2075153EB856999B09A2A437AA0F156F6"
"2025-08-27 14:54:11", "001fc225a375073a1d8214f47ae8658b8a71e2dfd55f78c63b75569be5c68415", "a9b6dcb641c29f68cf9ed2d5b93213ff", "1f8feef8a7ebdc596295b3c3808e434b43726dc5", "aachum", "D0ωη10αd Şētนp ƒï1ε.7z", "7z", "application/x-7z-compressed", "n/a", "n/a", "0.00", "n/a", "98304:8wZ12MDpJ/F9RGyyNOV2beIG2DD+sL7v0bfH6eDLgcLsj6WDddh3Bm+EAoFrep:h12MDLjkdtbeIxDiUM6oxa6W5z3Bm+E4", "T199363355720D9F6951BCDBD2E53C1C25BE80DA188C2F966300F16D3BAFDBF9228A6D40"
"2025-08-27 14:51:38", "014e65cc2e8bc22befa55e494fa20bde0534ed0289d6733e943d786db9648369", "1ca5b44e758dafe50eeb5825d62b6384", "177ef92773d5da400922c02bfed2a1a15a044615", "aachum", "libcurl.dll", "dll", "application/x-dosexec", "n/a", "n/a", "13.89", "736de9fcca98a022aab3c05fec7c560a", "6144:kwzBftCuZQyCbYo0OVWMXhc8R9l192Yx5GuMOTBQcIl4n4k:kwVftCubCbmyS87l19HxQDOTYk", "T1AA749D53E5801173C5664030A2965BE729FDFE312B54D0D7D3E888485E226EAEA3E3DF"
"2025-08-27 14:50:14", "188326c26e5810e7107b83dec879556cf3b92c680023e922e2d055826ebb8b75", "492a50e4aef8d1d368f6c3441836a5e0", "e694d8e825b5ce68273128be26f7a52fc907a765", "aachum", "SETUP.zip", "zip", "application/zip", "n/a", "n/a", "18.46", "n/a", "393216:1IekCAfb1bNQrz2sNDuzML6l+J2GZ8x6XI3WrBqWPEN1IqIBM8RqG:1IekCa5bw68TGvItltEIXM8RqG", "T1B1D6333097123F9FD89BC26EC3C75D0862C7CA8940DB5EB6B8B5E958C6C491E3DA601D"
